name,start,salary,target,debut
Boban Marjanovic,2023,2891467.0,0.021578112,2012
Bobby Brown,2017,1029121.0,0.0103854055,2016
Bobby Portis,2009,7500000.0,0.129404051,2015
Bobby Portis,2014,7206618.5,0.111209692,2015
Bobby Portis,2016,13628125.0,0.13854179,2015
Bobby Portis,2017,4620164.5,0.0448731355,2015
Bobby Portis,2018,6122499.0,0.059736426,2015
Bobby Portis,2019,15000000.0,0.137438153,2015
Bobby Portis,2020,3773454.0,0.034314922,2015
Bobby Portis,2021,2431489.8,0.0216297774,2015
Bobby Portis,2022,6259062.8,0.0484462734,2015
Bogdan Bogdanovic,2017,9000000.0,0.089569172,2014
Bogdan Bogdanovic,2020,18000000.0,0.156426976,2014
Bogdan Bogdanovic,2023,17000000.0,0.12007487,2014
Bojan Bogdanovic,2017,10500000.0,0.105961067,2012
Bojan Bogdanovic,2019,18275000.0,0.165787707,2012
Bojan Bogdanovic,2023,19516425.0,0.145644963,2012
Bol Bol,2020,2109696.0,0.019330181,2019
Bol Bol,2022,2200000.0,0.017791436,2019
Bol Bol,2023,2165000.0,0.016156716,2019
Brad Wanamaker,2018,838464.0,0.008230806,2011
Brad Wanamaker,2019,1445697.0,0.013246262,2014
Brad Wanamaker,2020,2250000.0,0.020615723,2014
Brad Wanamaker,2021,869577.5,0.0077354885,2014
Bradley Beal,2016,25434263.0,0.251671763,2012
Bradley Beal,2021,35073168.0,0.312,2012
Bradley Beal,2022,50203930.0,0.366191433,2012
Brady Heslip,2016,543471.0,0.005772824,2014
Brandan Wright,2015,5709880.0,0.06957202,2007
Brandan Wright,2017,705652.0,0.007121108,2007
Brandon Bass,2015,3067500.0,0.043821429,2005
Brandon Bass,2016,1551659.0,0.016481937,2005
Brandon Clarke,2023,12500000.0,0.088290346,2019
Brandon Dawson,2016,874636.0,0.009290505,2015
Brandon Goodwin,2019,1112166.0,0.010190269,2018
Brandon Goodwin,2021,869577.5,0.0077354885,2018
Brandon Goodwin,2023,2165000.0,0.016156716,2018
Brandon Ingram,2020,31650600.0,0.264190364,2016
Brandon Jennings,2016,3100000.0,0.0329286295,2009
Brandon Jennings,2017,594379.0,0.0059981935,2009
Brandon Knight,2015,14000000.0,0.153380534,2011
Brandon Knight,2021,851119.3333333334,0.007571293000000001,2011
