name,start,salary,target,debut,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Andrew Harrison,2019,1620564.0,0.014848488,2016,PG,23,64.0,32.0,22.1,2.4,6.35,0.3735,0.7,2.35,0.3035,1.7,3.95,0.415,0.431,2.15,2.75,0.7715,0.35,1.75,2.1,3.0,0.7,0.4,1.3,2.6,7.7
Andrew Nicholson,2016,6500000.0,0.066078176,2012,PF,25,63.66666667,12.0,14.8,2.633333333,5.6,0.464333333,0.233333333,0.733333333,0.210666667,2.4,4.866666667,0.485333333,0.486666667,0.666666667,0.9,0.741,0.666666667,2.266666667,2.966666667,0.5,0.233333333,0.333333333,0.8,1.7,6.133333333
Andrew Wiggins,2018,29542010.0,0.273181109,2014,SF,21,81.66666667,81.66666667,36.16666667,7.333333333,16.33333333,0.449333333,0.833333333,2.433333333,0.322,6.533333333,13.83333333,0.470666667,0.473,4.866666667,6.433333333,0.760333333,1.366666667,2.666666667,4.066666667,2.133333333,1.0,0.533333333,2.233333333,2.166666667,20.4
Andrew Wiggins,2023,27250001.0,0.192472961,2014,SF,26,81.4,81.4,34.1,7.04,15.78666667,0.448466667,1.84,5.093333333,0.3554,5.24,10.67333333,0.493133333,0.506733333,2.633333333,3.9,0.678066667,1.153333333,3.56,4.713333333,2.553333333,0.986666667,0.82,1.846666667,2.166666667,18.56
Anfernee Simons,2022,25000000.0,0.187193471,2018,SG,21,51.33333333,1.666666667,15.03333333,2.366666667,5.733333333,0.420666667,1.166666667,3.033333333,0.367666667,1.233333333,2.666666667,0.46,0.520666667,0.766666667,1.0,0.732,0.266666667,1.433333333,1.7,1.166666667,0.266666667,0.0666666667,0.733333333,1.3,6.633333333
Anthony Bennett,2015,947276.0,0.013532514,2013,PF,20,52.0,0.0,12.8,1.5,4.3,0.356,0.3,1.0,0.245,1.3,3.3,0.39,0.384,0.8,1.3,0.638,0.9,2.0,3.0,0.3,0.4,0.2,0.9,1.8,4.2
Anthony Bennett,2016,1051721.0,0.011171526,2013,PF,21,54.5,1.5,14.25,1.85,4.75,0.3885,0.2,0.7,0.2745,1.7,4.05,0.4105,0.4085,0.75,1.2,0.6395,0.9,2.45,3.4,0.55,0.45,0.25,0.75,1.65,4.7
Anthony Bennett,2017,1577230.0,0.015916664,2013,PF,22,42.66666667,1.0,10.96666667,1.366666667,3.633333333,0.357666667,0.2,0.7,0.254333333,1.233333333,2.933333333,0.402,0.389666667,0.666666667,0.966666667,0.726333333,0.7,1.933333333,2.666666667,0.366666667,0.4,0.166666667,0.566666667,1.233333333,3.633333333
Anthony Bennett,2019,1737145.0,0.015916667,2013,PF,22,42.66666667,1.0,10.96666667,1.366666667,3.633333333,0.357666667,0.2,0.7,0.254333333,1.233333333,2.933333333,0.402,0.389666667,0.666666667,0.966666667,0.726333333,0.7,1.933333333,2.666666667,0.366666667,0.4,0.166666667,0.566666667,1.233333333,3.633333333
Anthony Brown,2016,875235.0,0.009296868,2015,SF,23,29.0,11.0,20.7,1.3,4.3,0.31,0.7,2.4,0.286,0.7,1.9,0.339,0.389,0.6,0.7,0.85,0.3,2.1,2.4,0.7,0.5,0.2,0.5,1.2,4.0
Anthony Brown,2017,50000.0,0.000504577,2015,SF,23,29.0,11.0,20.7,1.3,4.3,0.31,0.7,2.4,0.286,0.7,1.9,0.339,0.389,0.6,0.7,0.85,0.3,2.1,2.4,0.7,0.5,0.2,0.5,1.2,4.0
Anthony Brown,2018,1567007.0,0.01538257,2015,SF,24,25.5,5.5,16.75,1.516666666,4.416666666,0.345833334,0.65,2.316666666,0.283333334,0.916666666,2.116666667,0.411,0.418666667,0.3,0.35,0.425,0.55,2.216666667,2.766666666,0.75,0.433333333,0.133333333,0.516666666,1.233333334,4.033333333
Anthony Davis,2016,25434263.0,0.251671763,2012,PF,21,66.33333333,64.66666667,33.36666667,7.566666667,14.4,0.523333333,0.0,0.133333333,0.101666667,7.566666667,14.3,0.527666667,0.524,4.433333333,5.633333333,0.782333333,2.733333333,6.766666667,9.466666667,1.6,1.333333333,2.5,1.466666667,2.533333333,19.56666667
Anthony Davis,2020,37980720.0,0.317028436,2012,C,25,67.0,67.0,35.42,9.76,18.86,0.5168,0.54,1.72,0.2754,9.2,17.2,0.536,0.5308,6.08,7.62,0.7974,2.5,8.56,11.08,2.48,1.44,2.42,2.0,2.24,26.14
