name,debut,start,end,salary,birth
Axel Toupane,2015,2016,2016,5145,1992
Axel Toupane,2015,2018,2018,12234,1990
Axel Toupane,2015,2018,2018,2165481,1990
Axel Toupane,2015,2017,2017,5000000,1990
Axel Toupane,2015,2014,2014,5479933,1990
Axel Toupane,2015,2010,2013,3277524,1990
Axel Toupane,2015,2019,2019,289803,1989
Axel Toupane,2015,2018,2018,3500000,1989
Axel Toupane,2015,2017,2017,2116955,1989
Ayo Dosunmu,2021,2023,2025,7000000,2000
B.J. Johnson,2018,2021,2021,9593,1995
B.J. Johnson,2018,2021,2021,1669178,1995
B.J. Johnson,2018,2020,2020,1620564,1995
B.J. Johnson,2018,2019,2019,1445697,1995
Bam Adebayo,2017,2021,2025,32600060,1997
Ben McLemore,2013,2017,2018,5330000,1993
Ben McLemore,2013,2019,2020,2155814,1993
Ben McLemore,2013,2020,2020,610596,1993
Ben McLemore,2013,2021,2021,2389641,1993
Ben Moore,2017,2018,2018,1349383,1995
Ben Simmons,2016,2020,2024,35448672,1996
Beno Udrih,2004,2016,2016,1551659,1982
Beno Udrih,2004,2017,2017,2328652,1982
Billy Garrett,2017,2018,2018,42634,1994
Billy Garrett,2017,2018,2018,838464,1994
Bismack Biyombo,2011,2023,2023,1194075,1992
Bismack Biyombo,2011,2023,2023,5000000,1992
Bismack Biyombo,2011,2022,2022,2905851,1992
Bismack Biyombo,2011,2021,2021,1366392,1992
Bismack Biyombo,2011,2021,2021,15182,1992
Bismack Biyombo,2011,2020,2020,3500000,1992
Bismack Biyombo,2011,2016,2019,18000000,1992
Bismack Biyombo,2011,2015,2016,2877315,1992
Blake Griffin,2009,2017,2021,34234964,1989
Blake Griffin,2009,2020,2020,1229676,1989
Blake Griffin,2009,2021,2021,2641691,1989
Blake Griffin,2009,2022,2022,2905851,1989
Blake Griffin,2009,2013,2017,18907725,1989
Boban Marjanovic,2015,2016,2018,7000000,1988
Boban Marjanovic,2015,2019,2020,3500000,1988
Boban Marjanovic,2015,2021,2022,3500000,1988
Boban Marjanovic,2015,2022,2022,807005,1988
Boban Marjanovic,2015,2023,2023,2891467,1988
Boban Marjanovic,2010,2023,2023,2891467,1988
Boban Marjanovic,2010,2022,2022,807005,1988
Boban Marjanovic,2010,2021,2022,3500000,1988
Boban Marjanovic,2010,2019,2020,3500000,1988
Boban Marjanovic,2010,2016,2018,7000000,1988
Boban Marjanovic,2010,2015,2015,1200000,1988
Bobby Brown,2016,2017,2017,533937,1984
Bobby Brown,2016,2017,2017,1524305,1984
Bobby Portis,2015,2019,2019,15000000,1995
Bobby Portis,2015,2020,2021,3713575,1995
Bobby Portis,2015,2021,2022,4456290,1995
Bobby Portis,2015,2022,2025,12144552,1995
Bobby Portis,2015,2021,2021,457149,1995
Bobby Portis,2015,2020,2022,3833333,1995
Bobby Portis,2015,2018,2019,1127658,1995
Bobby Portis,2015,2022,2022,617911,1986
Bobby Portis,2015,2022,2022,2905851,1986
Bobby Portis,2015,2022,2023,4612500,1997
Bobby Portis,2015,2018,2021,3276698,1997
Bobby Portis,2015,2022,2024,11014500,1985
Bobby Portis,2015,2021,2022,7175000,1985
Bobby Portis,2015,2017,2020,7969537,1985
Bobby Portis,2015,2017,2019,1270792,1995
Bobby Portis,2015,2019,219,956349,1986
Bobby Portis,2015,2016,2019,13628125,1986
Bobby Portis,2015,2014,2015,7000000,1986
Bobby Portis,2015,2009,2013,7500000,1986
Bobby Portis,2015,2018,2018,20000000,1995
Bobby Portis,2015,2014,2016,7413237,1995
Bobby Portis,2015,2021,2021,55208,1990
Bobby Portis,2015,2021,2021,13802,1990
Bobby Portis,2015,2018,2018,85640,1990
Bogdan Bogdanovic,2014,2023,2026,17000000,1992
Bogdan Bogdanovic,2014,2020,2023,18000000,1992
Bogdan Bogdanovic,2014,2017,2019,9000000,1992
Bojan Bogdanovic,2014,2017,2018,10500000,1989
Bojan Bogdanovic,2014,2019,2022,18275000,1989
Bojan Bogdanovic,2014,2023,2024,19516425,1989
Bojan Bogdanovic,2011,2023,2024,19516425,1989
Bojan Bogdanovic,2011,2019,2022,18275000,1989
Bojan Bogdanovic,2011,2017,2018,10500000,1989
Bol Bol,2019,2023,2023,2165000,1999
Bol Bol,2019,2022,2023,2200000,1999
Bol Bol,2019,2020,2021,2109696,1999
Brad Wanamaker,2011,2021,2021,9938,1989
Brad Wanamaker,2011,2021,2021,1729217,1989
Brad Wanamaker,2011,2020,2020,2250000,1989
Brad Wanamaker,2011,2019,2019,1445697,1989
Brad Wanamaker,2011,2018,2018,838464,1989
Brad Wanamaker,2018,2021,2021,9938,1989
Brad Wanamaker,2018,2021,2021,1729217,1989
Brad Wanamaker,2018,2020,2020,2250000,1989
Brad Wanamaker,2018,2019,2019,1445697,1989
Bradley Beal,2012,2022,2026,50203930,1993
Bradley Beal,2012,2021,2022,35073168,1993
Bradley Beal,2012,2016,2020,25434263,1993
Brady Heslip,2014,2016,2016,543471,1990
Brandan Wright,2007,2015,2017,5709880,1987
Brandan Wright,2007,2017,2017,705652,1987
Brandon Bass,2005,2016,2016,1551659,1985
Brandon Bass,2005,2015,2016,3067500,1985
Brandon Clarke,2019,2023,2026,12500000,1996
Brandon Dawson,2015,2016,2016,874636,1993
Brandon Goodwin,2018,2019,2020,1112166,1995
Brandon Goodwin,2018,2021,2021,9938,1995
Brandon Goodwin,2018,2021,2021,1729217,1995
Brandon Goodwin,2018,2023,2023,2165000,1995
Brandon Ingram,2016,2020,2024,31650600,1997
Brandon Jennings,2009,2017,2018,1176857,1989
Brandon Jennings,2009,2016,2016,1200000,1989
Brandon Jennings,2009,2016,2016,5000000,1989
Brandon Jennings,2009,2017,2017,11901,1989
Brandon Jennings,2010,2017,2018,1176857,1989
Brandon Jennings,2010,2017,2017,11901,1989
Brandon Jennings,2010,2016,2016,1200000,1989
Brandon Jennings,2010,2016,2016,5000000,1989
Brandon Knight,2011,2015,2019,14000000,1991
Brandon Knight,2011,2021,2021,138019,1991
Brandon Knight,2011,2021,2021,13802,1991
Brandon Knight,2011,2021,2021,2401537,1991
Brandon Paul,2013,2017,2018,1096929,1991
Brandon Paul,2013,2016,2017,724360,1991
Brandon Paul,2016,2017,2018,1096929,1991
Brandon Rush,2008,2016,2016,3500000,1985
Brandon Rush,2008,2017,2017,11960,1985
Brandon Rush,2008,2017,2017,2116955,1985
Brandon Williams,2021,2023,2023,1801769,1999
