name,start,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,debut,end,salary,birth,target,Pos,G,Pos_PG,Pos_SG,Pos_SF,Pos_PF,Pos_C,contract_period,Annual
Robert Covington,2018,74.07482993,31.65442177,4.345578231,10.68231293,0.406619048,2.272108844,6.53537415,0.352591837,2.027891156,4.146938776,0.49107483,0.514857143,1.773469388,2.110204082,0.838870748,1.019047619,4.882312925,5.901360544,1.772108844,1.791156463,0.945578231,1.782312925,3.0,12.73673469,2013,2021,11719782.0,1990,0.10982182,SF,74.07482993,False,False,False,True,False,4,6
Robert Covington,2022,31.78930818,24.74654088,2.532389937,6.073584906,0.422773585,1.507232705,4.02735849,0.374286163,1.018238994,2.022012579,0.511603773,0.544694969,0.741823899,0.926415095,0.818877359,0.857861635,4.216037736,5.064779874,1.281132076,1.327987421,1.053459119,0.850314466,2.444654088,7.371383648,2013,2023,12000000.0,1990,0.097044196,PF,208.8176101,False,False,False,True,False,2,10
Robert Sacre,2016,13.38043478,15.78586957,1.709782609,4.165217391,0.412271739,0.0,0.0,0.0,1.709782609,4.165217391,0.413,0.412271739,0.854347826,1.281521739,0.667467391,1.3,1.964130435,3.336956522,0.745652174,0.345652174,0.545652174,0.5,1.772826087,4.301086957,2012,2016,1050961.0,1989,0.011163453,C,55.58695652,False,False,False,True,False,1,5
Robert Woodard II,2022,0.0,3.5,0.408,1.404,0.268,0.1,0.404,0.20684,0.308,1.052,0.29984,0.29588,0.2,0.408,0.675,0.348,0.708,1.056,0.248,0.048,0.152,0.1,0.3,1.068,2020,2022,1836090.0,1999,0.01484849,SF,12.52,False,False,False,True,False,1,3
Robin Lopez,2019,48.98550725,23.87971014,4.656521739,8.544927536,0.550376812,0.1,0.307246377,0.253826087,4.602898551,8.237681159,0.56442029,0.555521739,1.153623188,1.560869565,0.73884058,1.992753623,2.185507246,4.17826087,1.524637681,0.146376812,0.960869565,1.485507246,1.7,10.56666667,2009,2020,4886175.0,1988,0.044769791,C,69.36231884,False,False,False,False,True,2,11
Robin Lopez,2020,21.38571429,18.30571429,3.204285714,5.927142857,0.532171429,0.288571429,0.965714286,0.276442857,2.915714286,4.961428571,0.583342857,0.563214286,0.822857143,1.275714286,0.6316,1.381428571,1.811428571,3.192857143,0.964285714,0.147142857,0.911428571,1.158571429,1.605714286,7.567142857,2009,2020,7300000.0,1988,0.066886568,C,70.22857143,False,False,False,False,True,1,12
Robin Lopez,2021,7.072992701,16.88394161,3.02919708,5.277372263,0.565072993,0.29270073,0.926277372,0.30449635,2.73649635,4.351094891,0.614313869,0.596124088,0.918248175,1.370072993,0.629058394,1.42189781,1.703649635,3.125547445,0.751824818,0.2,0.648175182,1.051824818,1.5,7.265693431,2009,2021,5000000.0,1988,0.044478446,C,68.59124088,False,False,False,False,True,1,13
Robin Lopez,2022,6.68125,14.58375,2.724375,4.4825,0.59011875,0.1,0.25125,0.3389125,2.624375,4.25375,0.60934375,0.6022125,0.92625,1.30625,0.73416875,1.47375,1.35375,2.8275,0.838125,0.144375,0.445,0.93,1.410625,6.395,2009,2022,2905865.0,1988,0.023499778,C,81.0125,False,False,False,False,True,1,14
Robin Lopez,2023,4.0,10.13492064,1.7,2.898412698,0.580603174,0.1,0.17936508,0.420539683,1.6,2.747619048,0.598349206,0.596396826,0.504761905,0.734920635,0.753333334,0.92063492,0.93968254,1.86031746,0.76031746,0.1,0.285714286,0.766666666,1.298412699,3.93015873,2009,2023,3196448.0,1988,0.02385409,C,73.73015873,False,False,False,False,True,1,15
Rodney Hood,2018,29.74301676,26.94134078,5.126256983,12.12290503,0.422513966,2.037430168,5.44972067,0.376044693,3.088826816,6.684916201,0.458418994,0.506452514,1.751396648,2.084357542,0.832592179,0.367039106,2.662011173,2.974301676,1.598324022,0.722346369,0.2,1.148603352,1.911731844,14.04078212,2014,2018,3472887.0,1992,0.034091696,SG,99.89385475,False,False,False,False,True,1,5
Rodney Hood,2019,29.31818182,26.57159091,4.667045455,10.77045455,0.432943182,1.601136364,4.329545455,0.366136364,3.076136364,6.448863636,0.474340909,0.504965909,1.885227273,2.168181818,0.868409091,0.3625,2.081818182,2.456818182,1.690909091,0.792045455,0.193181818,0.959090909,1.898863636,12.79772727,2014,2020,5860950.0,1992,0.053701209,SG,133.0909091,False,False,False,False,True,2,6
